agent_id,first_name,last_name,email,phone,license_number,employment_type,commission_rate,hire_date,active,user_id,role,office_id
34,Ashley,Mcdonald,ashley.mcdonald33@dreamhomesnyc.com,8291146786,NY-691251-CDRH,Part-Time,0.0445,2022-08-04,False,34,agent,1
35,Natalie,Deleon,natalie.deleon34@dreamhomesnyc.com,9226801824,NY-225358-SFQM,Part-Time,0.0573,2024-01-17,True,35,manager,5
36,Andrea,Martinez,andrea.martinez35@dreamhomesnyc.com,4981829922,NY-995900-FCPX,Full-Time,0.0556,2023-10-02,True,36,agent,5
37,Debra,Wang,debra.wang36@dreamhomesnyc.com,6907844736,NY-471027-AEDN,Full-Time,0.0487,2022-07-27,True,37,agent,5
38,Douglas,Hensley,douglas.hensley37@dreamhomesnyc.com,5562588153,NY-714732-GDSY,Part-Time,0.03,2025-03-10,False,38,agent,7
39,Robert,Estes,robert.estes38@dreamhomesnyc.com,2595327877,NY-470168-DPNL,Part-Time,0.0218,2022-08-19,True,39,agent,5
40,Brent,Simpson,brent.simpson39@dreamhomesnyc.com,7480162456,NY-506098-MXJS,Full-Time,0.0496,2021-03-27,True,40,agent,1
41,William,Duran,william.duran40@dreamhomesnyc.com,4991216558,NY-523986-GCCC,Full-Time,0.023,2021-07-21,True,41,manager,9
42,Mason,Wells,mason.wells41@dreamhomesnyc.com,7298259526,NY-949588-IFTK,Full-Time,0.0534,2022-05-14,True,42,agent,3
43,Lisa,Richardson,lisa.richardson42@dreamhomesnyc.com,1694097499,NY-309728-OUNX,Full-Time,0.0323,2025-01-27,True,43,agent,1
44,Dylan,Becker,dylan.becker43@dreamhomesnyc.com,0913075626,NY-368970-TIHN,Part-Time,0.0284,2023-09-03,True,44,agent,9
45,Whitney,Mendoza,whitney.mendoza44@dreamhomesnyc.com,6527858549,NY-733484-OTXS,Part-Time,0.059,2024-05-23,True,45,manager,4
46,Hannah,Burns,hannah.burns45@dreamhomesnyc.com,7584419866,NY-524041-WCPQ,Full-Time,0.059,2024-08-09,True,46,manager,1
47,Jason,Clayton,jason.clayton46@dreamhomesnyc.com,4842199330,NY-833016-VTEG,Full-Time,0.0495,2024-04-10,True,47,manager,4
48,Derrick,Oconnell,derrick.oconnell47@dreamhomesnyc.com,2677345401,NY-938026-LCZY,Part-Time,0.0264,2023-05-07,True,48,agent,1
49,Sharon,Hayden,sharon.hayden48@dreamhomesnyc.com,4004991547,NY-887287-RMZH,Part-Time,0.0289,2022-07-10,True,49,agent,5
50,Jessica,Wong,jessica.wong49@dreamhomesnyc.com,2054932966,NY-851612-IEUP,Full-Time,0.0289,2020-11-25,True,50,agent,5
51,Patrick,Griffin,patrick.griffin50@dreamhomesnyc.com,4549904530,NY-174268-TXTS,Full-Time,0.0587,2021-06-15,True,51,agent,7
52,Sabrina,Phillips,sabrina.phillips51@dreamhomesnyc.com,9332727956,NY-878339-YFHC,Part-Time,0.0576,2023-07-05,True,52,admin,3
53,Michael,Stark,michael.stark52@dreamhomesnyc.com,1088398225,NY-871397-FGCZ,Part-Time,0.0215,2021-02-22,True,53,agent,6
54,David,Perry,david.perry53@dreamhomesnyc.com,9087406403,NY-910651-IDEE,Part-Time,0.0442,2021-01-09,True,54,agent,10
55,Robert,Mack,robert.mack54@dreamhomesnyc.com,6567661825,NY-128682-UOAW,Full-Time,0.0302,2020-12-24,True,55,agent,9
56,Kenneth,Nunez,kenneth.nunez55@dreamhomesnyc.com,8686337524,NY-310690-PNEG,Full-Time,0.0346,2023-11-03,True,56,agent,6
57,Sean,Powers,sean.powers56@dreamhomesnyc.com,0306738302,NY-843959-MXRU,Part-Time,0.0465,2022-01-19,True,57,manager,9
58,Nancy,Odom,nancy.odom57@dreamhomesnyc.com,8364408926,NY-870568-USAA,Part-Time,0.0467,2021-08-12,True,58,agent,9
59,Nicholas,Webster,nicholas.webster58@dreamhomesnyc.com,7334270866,NY-882634-NVPF,Full-Time,0.0277,2025-06-24,True,59,agent,3
60,Melanie,Davis,melanie.davis59@dreamhomesnyc.com,3046990139,NY-837354-ANMV,Part-Time,0.0362,2021-06-15,True,60,agent,4
61,Yvonne,Mendoza,yvonne.mendoza60@dreamhomesnyc.com,3936385467,NY-854458-FDGZ,Part-Time,0.0514,2025-10-10,True,61,agent,8
62,Terrance,Franco,terrance.franco61@dreamhomesnyc.com,3556093204,NY-899642-MVOY,Part-Time,0.047,2023-09-20,True,62,agent,3
63,John,Pierce,john.pierce62@dreamhomesnyc.com,5477725228,NY-728080-EQDW,Full-Time,0.0314,2020-11-24,True,63,agent,2
64,Derrick,Mccoy,derrick.mccoy63@dreamhomesnyc.com,1203875099,NY-770088-AABH,Full-Time,0.0469,2024-06-24,True,64,agent,1
65,Amanda,Mitchell,amanda.mitchell64@dreamhomesnyc.com,8621182339,NY-845461-XZDK,Full-Time,0.0298,2022-01-31,True,65,agent,2
66,Heidi,Evans,heidi.evans65@dreamhomesnyc.com,1016668700,NY-217659-GHCO,Part-Time,0.0366,2021-12-04,True,66,agent,7
67,Miranda,Clay,miranda.clay66@dreamhomesnyc.com,7401489025,NY-039261-TKKP,Part-Time,0.036,2023-09-14,True,67,agent,2
68,Melissa,Rhodes,melissa.rhodes67@dreamhomesnyc.com,8562185016,NY-315999-ZXUB,Part-Time,0.0288,2024-01-15,True,68,agent,8
69,Kristen,Hayes,kristen.hayes68@dreamhomesnyc.com,3586629619,NY-431142-YTYO,Full-Time,0.0423,2021-08-21,False,69,agent,3
70,Peter,Ward,peter.ward69@dreamhomesnyc.com,1047541212,NY-678886-GBFW,Part-Time,0.0467,2023-08-22,False,70,agent,8
71,Candice,Mueller,candice.mueller70@dreamhomesnyc.com,6046618398,NY-262244-RFJE,Part-Time,0.0532,2021-09-14,True,71,manager,8
72,Joshua,Evans,joshua.evans71@dreamhomesnyc.com,1543799371,NY-240659-YZVC,Part-Time,0.0304,2022-07-17,True,72,agent,9
73,Lisa,Villarreal,lisa.villarreal72@dreamhomesnyc.com,9245937526,NY-547935-YRYZ,Part-Time,0.0451,2022-09-10,True,73,agent,5
74,Sarah,Gonzalez,sarah.gonzalez73@dreamhomesnyc.com,8280737416,NY-724342-TBYY,Full-Time,0.0309,2021-03-28,True,74,agent,3
75,Vicki,Mendoza,vicki.mendoza74@dreamhomesnyc.com,6886805891,NY-135290-KPRP,Full-Time,0.0293,2022-11-13,True,75,agent,2
76,Karen,Sheppard,karen.sheppard75@dreamhomesnyc.com,6101438889,NY-937567-XRLS,Part-Time,0.0363,2023-05-16,True,76,agent,4
77,Michael,Johnson,michael.johnson76@dreamhomesnyc.com,1461125457,NY-387571-CUSC,Part-Time,0.0356,2022-06-18,True,77,manager,1
78,Kevin,Patrick,kevin.patrick77@dreamhomesnyc.com,1051238282,NY-586736-OLLO,Part-Time,0.0391,2024-02-26,False,78,agent,7
79,Randall,Mclaughlin,randall.mclaughlin78@dreamhomesnyc.com,3796603341,NY-918255-MDHQ,Part-Time,0.0415,2024-03-22,True,79,agent,4
80,Tracy,Church,tracy.church79@dreamhomesnyc.com,5969691557,NY-924991-RIUH,Part-Time,0.0288,2022-01-22,True,80,agent,6
81,Daryl,Brooks,daryl.brooks80@dreamhomesnyc.com,2866929662,NY-782827-SILU,Part-Time,0.049,2025-01-29,True,81,manager,10
82,Christine,Glenn,christine.glenn81@dreamhomesnyc.com,0723688767,NY-677219-BYWO,Full-Time,0.0563,2022-04-30,True,82,agent,2
83,Joshua,Medina,joshua.medina82@dreamhomesnyc.com,2797881914,NY-858078-NBGV,Part-Time,0.0254,2025-01-07,True,83,agent,7
84,Karen,Evans,karen.evans83@dreamhomesnyc.com,0745171339,NY-596292-YNNZ,Part-Time,0.0285,2021-03-01,True,84,agent,7
85,Michael,Campbell,michael.campbell84@dreamhomesnyc.com,8254494812,NY-604223-JTUP,Part-Time,0.0501,2024-09-04,True,85,agent,2
86,Erica,Burns,erica.burns85@dreamhomesnyc.com,9466711684,NY-577590-XUFU,Part-Time,0.0208,2025-09-24,True,86,admin,6
87,Cynthia,Terry,cynthia.terry86@dreamhomesnyc.com,1863637454,NY-589297-YVRW,Full-Time,0.046,2021-02-09,True,87,agent,1
88,Cory,Bowers,cory.bowers87@dreamhomesnyc.com,7012770632,NY-424154-FXQP,Full-Time,0.028,2021-09-11,True,88,agent,3
89,Randy,Torres,randy.torres88@dreamhomesnyc.com,3611037129,NY-387005-HBSI,Part-Time,0.0468,2023-04-04,True,89,agent,5
90,Jeremy,Davis,jeremy.davis89@dreamhomesnyc.com,1155426221,NY-890927-WUNO,Part-Time,0.0267,2024-08-11,True,90,agent,2
91,Samantha,Jensen,samantha.jensen90@dreamhomesnyc.com,7311219656,NY-523413-JMMU,Full-Time,0.0586,2023-11-28,True,91,agent,5
92,Kimberly,Vaughn,kimberly.vaughn91@dreamhomesnyc.com,4389836403,NY-761379-EHAX,Part-Time,0.0359,2025-07-16,True,92,agent,4
93,David,Valencia,david.valencia92@dreamhomesnyc.com,9658271091,NY-043006-GSOT,Full-Time,0.0479,2023-05-17,True,93,agent,2
94,Robert,Miles,robert.miles93@dreamhomesnyc.com,1889241418,NY-328569-OWPR,Full-Time,0.0339,2024-02-01,True,94,agent,9
95,Kyle,Kim,kyle.kim94@dreamhomesnyc.com,3031617990,NY-421020-KFWH,Part-Time,0.0205,2023-06-15,True,95,agent,7
96,Lynn,Green,lynn.green95@dreamhomesnyc.com,5241056481,NY-491778-XDFK,Part-Time,0.0454,2021-09-13,True,96,agent,7
97,Eric,Ayala,eric.ayala96@dreamhomesnyc.com,9138000307,NY-562208-ZTVP,Full-Time,0.0494,2022-12-19,False,97,agent,9
98,Marc,Butler,marc.butler97@dreamhomesnyc.com,5419518023,NY-806174-XTUF,Part-Time,0.0386,2023-08-20,True,98,agent,6
99,Alan,Gonzalez,alan.gonzalez98@dreamhomesnyc.com,9493759738,NY-320603-IWOS,Full-Time,0.0532,2025-04-03,True,99,manager,4
100,Stephanie,Smith,stephanie.smith99@dreamhomesnyc.com,6413836702,NY-410386-SXDV,Part-Time,0.0428,2021-04-17,True,100,agent,8
